平台,W35销售额,W34销售额,占比
Bunnings,1515.65,0,37%
Dropshipzone,1257.22,1138.63,31%
Kmart,515.74,26.98,13%
Amazon Marketplace,503.79,1563.02,12%
Kogan,264.53,0,6%
Temu - AU,41.78,0,1%
Big W,0,834.03,0%
Ebay,0,0,0%
Everyday Rewards,0,0,0%
Myer,0,0,0%
Temu - US,0,120,0%
Woolworths,0,154.5,0%
